campo;componente;placeholder;archivo;linea;acci�n;reemplazo
Email;Input;tu@email.com;app/login/login-form.tsx;72;eliminar;
Password;Input;••••••••;app/login/login-form.tsx;86;eliminar;
Estado del proyecto;Status selector;Sin estado;app/projects/columns.tsx;85;reemplazar;Seleccionar estado
Estado de visita;Status selector;Sin estado;app/visits/columns.tsx;131;reemplazar;Seleccionar estado
Estado de postventa;Status selector;Sin estado;app/aftersales/columns.tsx;121;reemplazar;Seleccionar estado
Busqueda de clientes;Input;Nombre, telefono o email...;app/settings/export/page.tsx;243;;
Busqueda de proyectos;Input;N° proyecto, cliente o nombre...;app/settings/export/page.tsx;303;;
Pais;Combobox/Select;Selecciona un pais...;app/settings/general/page.tsx;63;;
Region;Combobox/Select;Selecciona una region...;app/settings/general/page.tsx;85;;
Idioma;Combobox/Select;Selecciona un idioma...;app/settings/general/page.tsx;158;;
Zona horaria;Combobox/Select;Selecciona una zona horaria...;app/settings/general/page.tsx;174;;
Primer dia de semana;Combobox/Select;Selecciona el primer dia...;app/settings/general/page.tsx;190;;
Porcentaje (ejemplo doc);PercentageInput;19.0;components/ui/percentage-input.tsx;61;;
Porcentaje;input;{placeholder} (prop dinamica);components/ui/percentage-input.tsx;117;;
Monto moneda;input;{placeholder || ''} (prop dinamica);components/ui/currency-input.tsx;160;;
Telefono;input;{placeholder} (prop dinamica);components/ui/phone-input.tsx;108;;
Busqueda en combobox;CommandInput;{searchPlaceholder} (prop dinamica);components/ui/combobox.tsx;252;;
Busqueda en tabla;Input;{searchPlaceholder} (prop dinamica);components/data-table/data-table-toolbar.tsx;104;;
Filtro facetado;CommandInput;{title} (prop dinamica);components/data-table/data-table-faceted-filter.tsx;144;;
Tamano de pagina;SelectValue;{table.getState().pagination.pageSize} (dinamico);components/data-table/data-table-pagination.tsx;45;;
Nombre;Input;Juan Perez;components/forms/customers/customer-form.tsx;62;eliminar;
Email;Input;correo@ejemplo.com;components/forms/customers/customer-form.tsx;110;eliminar;
Cliente;Combobox;Seleccionar cliente;components/forms/projects/project-form.tsx;196;;
Estado;Combobox;Seleccionar estado;components/forms/projects/project-form.tsx;279;;
Razon de ajuste;SelectValue;Selecciona una razon;components/forms/projects/project-adjustment-form.tsx;81;;
Detalle/justificacion;Textarea;Agrega detalles o justificacion...;components/forms/projects/project-adjustment-form.tsx;159;eliminar;
Estado de visita;SelectValue;(expresion dinamica);components/forms/visits/visit-form.tsx;164;;
Notas;Textarea;Notas adicionales sobre la visita...;components/forms/visits/visit-form.tsx;226;eliminar;
Busqueda de proyecto;Combobox;Buscar proyecto...;components/forms/search/project-search-field.tsx;193;;
Busqueda de cliente;Combobox;Buscar cliente...;components/forms/search/customer-search-field.tsx;124;;
Busqueda de visita;Combobox;Buscar visita...;components/forms/search/visit-search-field.tsx;128;;
Busqueda de postventa;Combobox;Buscar postventa...;components/forms/search/aftersale-search-field.tsx;140;;
Descripcion de proyecto;Input/Textarea;{descriptionPlaceholder} (prop dinamica);components/forms/fields/project-details-fields.tsx;97;;
Tasa de impuesto;PercentageInput;19.0;components/forms/fields/project-financial-fields.tsx;76;;
Region;Combobox;Selecciona una region...;components/forms/fields/address-fields.tsx;102;;
Comuna;Combobox;(expresion dinamica);components/forms/fields/address-fields.tsx;128;;
Monto credito a aplicar;CurrencyInput;0;components/forms/fields/credit-application-fields.tsx;78;;
Metodo de pago;SelectValue;Seleccionar metodo;components/forms/fields/payment-method-fields.tsx;100;;
Numero de cuotas;SelectValue;Seleccionar cuotas;components/forms/fields/payment-method-fields.tsx;130;;
Notas de pago;Textarea;Notas adicionales sobre el pago...;components/forms/payments/payment-to-project-form.tsx;183;;
Notas de pago;Textarea;Notas adicionales sobre el pago...;components/forms/payments/payment-to-customer-form.tsx;357;;
Estado del evento;Combobox;Seleccionar estado;components/forms/calendar/project-event-form.tsx;280;;
Checklist/tareas;Textarea/Input;Ej: Medir ventanas, tomar fotos, confirmar material...;components/forms/calendar/project-event-form.tsx;374;eliminar;
Estado postventa;Combobox;Seleccionar estado;components/forms/calendar/aftersale-event-form.tsx;254;;
Descripcion problema;Textarea;Describe el problema o situacion...;components/forms/calendar/aftersale-event-form.tsx;298;eliminar;
Checklist/tareas;Textarea/Input;Ej: Revisar ventana, contactar al cliente, coordinar tecnico...;components/forms/calendar/aftersale-event-form.tsx;326;eliminar;
Estado visita;Combobox;Seleccionar estado;components/forms/calendar/visit-event-form.tsx;220;;
Nombre prospecto;Input;Nombre del prospecto;components/forms/calendar/visit-event-form.tsx;248;eliminar;
Observaciones;Textarea;Observaciones adicionales...;components/forms/calendar/visit-event-form.tsx;290;;
Monto de reembolso;Input;Ingresa monto;components/dialogs/customers/refund-credit-dialog.tsx;128;;
Metodo de pago;SelectValue;Selecciona metodo;components/dialogs/customers/refund-credit-dialog.tsx;176;;
Razon;Textarea;Ej: Devolucion solicitada por cliente via email;components/dialogs/customers/refund-credit-dialog.tsx;214;eliminar;
Nombre del estado;StatusForm;{config.placeholder} (prop dinamica);components/dialogs/settings/create-status-dialog.tsx;94;;
Nombre metodo;Input;Ej: Transferencia Bancaria;components/forms/settings/payment-method-form.tsx;67;eliminar;
Icono Lucide;Input;Ej: Banknote, CreditCard, Smartphone;components/forms/settings/payment-method-form.tsx;83;eliminar;
Maximo de cuotas;Input;Ej: 6;components/forms/settings/payment-method-form.tsx;137;;
Nombre del estado;Input;{placeholder} (prop dinamica);components/forms/settings/status-form.tsx;63;eliminar;
Abreviacion del tag;Input;DV;components/custom/tag-system/CreateTagModal.tsx;134;eliminar;
Nuevo item de lista;Input;{placeholder} (prop dinamica);components/custom/todo/todo-list-field.tsx;171;;
